CompanyName,EmailAddress,Phone,StreetAddress,City
Excel Medical Transportation,,(818) 878-0719,26011 Alizia Canyon Dr Unit D,"Calabasas, CA 91302"
Silver Age Non-Emergency Medical Transportation Inc.,,(818) 285-0585,14540 Hamlin St,"Van Nuys, CA 91411"
Centennial Non-Emergency Medical Transportation Inc,,(818) 385-0293,15840 Ventura Blvd Ste 210,"Encino, CA 91436"
Silver Medical Transportation Inc,,(323) 461-2525,6051 Hollywood Blvd Ste 212,"Los Angeles, CA 90028"
Crystal Medical Transportation Inc,,(818) 768-1312,7764 Via Capri,"Burbank, CA 91504"
Ambiance Medical Transportation Inc,,(818) 255-3111,11100 Sheldon St,"Sun Valley, CA 91352"
Ambiance Medical Transportation Inc,,(818) 955-5757,2211 W Magnolia Blvd,"Burbank, CA 91506"
Divine Care Medical Transportation Inc.,mailto:divinecaremedtrans@yahoo.com,(800) 246-5041,5155 W Rosecrans Ave Ste 212A,"Hawthorne, CA 90250"
United Ride Medical Transportation Inc,,(818) 500-0985,1337 E Colorado St,"Glendale, CA 91205"
"DIVINE CARE MEDICAL TRANSPORTATION, INC",,(800) 246-5041,706 S Flower St,"Inglewood, CA 90301"
Medical Transportation,,(818) 881-3100,17751 Sherman Way,"Reseda, CA 91335"
"Adult Medical Transportation ""AMT""",mailto:amtambulance@amtamb.com,(818) 705-0100,7048 Darby Ave,"Reseda, CA 91335"
V & A Medical Transportation,,(818) 881-5811,6901 Garden Grove Ave,"Reseda, CA 91335"
chariot medical transportation,,(747) 444-8124,16735 Vintage st,"North hills, CA 91343"
Western Medical Transportation,,(818) 895-1515,8745 Parthenia Pl Ste 3,"North Hills, CA 91343"
M & S Medical Transportation,,(818) 779-0880,7017 Van Nuys Blvd,"Van Nuys, CA 91405"
American Best Care Medical Transportation,,(818) 802-3149,14547 Titus St Ste 216,"Panorama City, CA 91402"
Century Limousine Service & Non Emergency Medical Transportation,,(310) 498-0498,5900 Sepulveda Blvd,"Van Nuys, CA 91411"
Unicorn Medical Transportation,,(818) 830-3333,9007 Woodman Ave,"Arleta, CA 91331"
Ventura County Medical Transportation,,(818) 761-3549,12716 Riverside Dr,"Valley Village, CA 91607"
Safeway Medical Transportation,,(818) 764-8000,5301 Laurel Canyon Blvd,"Valley Village, CA 91607"
Pacific Care Medical Transportation,,(818) 255-0123,7961 Rhodes Ave,"North Hollywood, CA 91605"
Comfort Medical Transportation,,(818) 765-5852,6631 Laurel Canyon Blvd,"North Hollywood, CA 91606"
California Medical Transportation Association,,(818) 766-2682,11647 Morrison St,"North Hollywood, CA 91601"
Safe Ride Medical Transportation,,(818) 824-3585,5816 Lankershim Blvd,"North Hollywood, CA 91601"
G & F Medical Transportation,,(818) 782-0693,5512 Nagle Ave,"Sherman Oaks, CA 91401"
Safety Medical Transportation,,(818) 761-7982,12607 Burbank Blvd,"Valley Village, CA 91607"
Sunny Medical Transportation,,(818) 762-0030,12125 Riverside Dr Ste 203,"Valley Village, CA 91607"
Lisa's Medical Transportation,,(818) 840-1111,539 N Glenoaks Blvd,"Burbank, CA 91502"
Lucky Medical Transportation,,(323) 651-3295,8240 Beverly Blvd Ste 6,"Los Angeles, CA 90048"
