CompanyName,emailAddress,phone,streetAddress,City
Medical Transport Services,,(727) 201-1717,_,_
American Medical Response,,(760) 726-4842,_,"Vista, CA 92084"
Air Care Intl Ground Transport,,(760) 439-1445,2150 Camino Vida Roble,"Carlsbad, CA 92008"
Air Care Inc,,(760) 431-8733,2205 Faraday Ave Ste I,"Carlsbad, CA 92008"
AAA Airport Sedan Service,,(760) 720-9992,1997 Seawind Way,"Oceanside, CA 92054"
OTB Consulting Group,,(949) 842-4076,311 Oceanside Blvd,"Oceanside, CA 92054"
Pacific Ambulance,,(760) 806-4467,1929 W Vista Way Ste E,"Vista, CA 92083"
Emergency Ambulance Service,,(760) 430-1393,Oceanside 92054,"Oceanside, CA 92054"
Balboa Ambulance,,(760) 724-8181,4206 Via Tercero,"Vista, CA 92084"
Ambulance District San Dieguito Paramedics,,(858) 755-9717,545 Opper St,"Del Mar, CA 92014"
"CCT Nurses, Inc.",,(760) 500-6411,301 E Washington Ave Ste B,"Oceanside, CA 92056"
First Choice Ambulance,,(760) 746-3000,,"Escondido, CA 92029"
Centro Medico Del Carmen,,(760) 480-9051,,"Escondido, CA 92025"
Medical Guardian,,(800) 227-0919,,
Medical Transport Services,,(727) 201-1717,,
