CompanyName,emailAddress,phone,streetAddress,City
Medical Transport Services,,(727) 201-1717,-,"Irvine, CA"
Medlink Medical Transportation Corp,,(714) 540-9031,3739 S Plaza Dr,"Santa Ana, CA 92704"
American Medical Response,,(951) 808-2100,1434 Kellogg Ave,"Corona, CA 92879"
MedLine Ambulance,,(714) 770-8770,2328 N Batavia St,"Orange, CA 92865"
Mid-Cities Medical Transport,,(714) 238-9005,1325 N Red Gum St Ste 14,"Anaheim, CA 92806"
American Paramedics,,(949) 465-9923,25 Mauchly Ste 313,"Irvine, CA 92618"
"T&M Assisted Transportation, Inc.",,(800) 715-8522,-,"Irvine, CA 92614"
Schaefer Ambulance Service,,(714) 545-8436,-,"Santa Ana, CA 92704"
S & E Transportation,,(800) 215-0588,26224 Enterprise Ct,"Lake Forest, CA 92630"
Pacific Ambulance,,(949) 470-2355,23942 Mcwhorter Way,"Lake Forest, CA 92630"
Doctor's Ambulance Service,,(949) 951-6600,23091 Terra Dr,"Laguna Hills, CA 92653"
Medix Ambulance Service Inc,,(714) 731-3835,26021 Pala,"Mission Viejo, CA 92691"
Pacific Ambulance,,(949) 347-0588,27800 Medical Center Rd,"Mission Viejo, CA 92691"
On Time Med Trans,,(714) 540-9031,3739 S Plaza Dr,"Santa Ana, CA 92704"
Schaefer Ambulance Service,,(714) 545-8486,2215 S Bristol St,"Santa Ana, CA 92704"
Newport Center Surgical,,(949) 706-6300,17 Corporate Plaza Dr Ste 120,"Newport Beach, CA 92660"
Mission Ambulance,,(951) 272-2300,1055 E 3rd St,"Corona, CA 92879"
American Med Ambulance Services,,(714) 710-8888,3750 W Warner Ave,"Santa Ana, CA 92704"
Shoreline EMS,,(714) 847-9107,17762 Metzler Ln,"Huntington Beach, CA 92647"
Care Ambulance,,(949) 722-8113,2131 Placentia Ave,"Costa Mesa, CA 92627"
Care Ambulance Service,,(714) 288-3800,18287 Mount Baldy Cir,"Fountain Valley, CA 92708"
West Regional Surgeons,,(714) 777-1017,5475 E La Palma Ave,"Anaheim, CA 92807"
Lynch Ambulane,,(714) 632-1046,13171 N Red Gum St,"Anaheim, CA 92806"
Life Fleet,,(957) 341-2100,1072 N Kraemer Pl,"Anaheim, CA 92806"
Medcoast Ambulance Service,,(714) 960-9477,8254 Atlanta Ave,"Huntington Beach, CA 92646"
Symons Emergency Specialities,,(951) 549-7901,3115 Palisades Dr,"Corona, CA 92880"
Horizon Ambulance,,(714) 630-2486,1051 Cypress St,"Placentia, CA 92870"
Shoreline Ambulance,,(855) 474-6735,17762 Metzler Ln,"Huntington Beach, CA 92647"
Shoreline Ambulance Company,,(714) 847-9107,17762 Gothard St,"Huntington Beach, CA 92647"
Americare Ambulance,,(310) 835-9390,6861 Hitchingpost Cir,"Huntington Beach, CA 92648"
Medical Transport Services,,(727) 201-1717,-,-
