CompanyName,emailAddress,phone,streetAddress,City
Pacific Ambulance Inc,,(858) 300-8850,3944 Murphy Canyon Rd Ste C207,"San Diego, CA 92123"
United Ambulance Services,,(858) 277-0300,7581 Convoy Ct,"San Diego, CA 92111"
First Choice Ambulance,,(858) 503-6900,5595 Magnatron Blvd Ste T,"San Diego, CA 92111"
San Diego Ambulance Services,,(619) 399-0006,7955 Silverton Ave Ste 1210,"San Diego, CA 92126"
Pacific Ambulance,,(949) 470-2355,5550 Oberlin Dr Ste A,"San Diego, CA 92121"
Pacific Ambulance San Diego,,(619) 398-2994,_,"San Diego, CA 92101"
Rural Metro,,(619) 287-0152,_,"San Diego, CA 92115"
Disability Rights California,,(619) 239-7861,1111 6th Ave Ste 200,"San Diego, CA 92101"
Critical Air Medicine Inc,,(858) 300-0224,8775 Aero Dr Ste 235,"San Diego, CA 92123"
S S G Transportation,,(619) 661-9573,2350 Marconi Pl,"San Diego, CA 92154"
Chatfield Air Ambulance Inc,,(818) 787-2058,3225 Lower Ridge Rd,"San Diego, CA 92130"
"T&M Assisted Transportation, Inc.",,(800) 715-8522,_,SD
Vital Trasport,,(619) 292-2892,124 E 30th St,"National City, CA 91950"
Advantage Ambulance,,(866) 962-3826,3142 E Plaza Blvd Ste P,"National City, CA 91950"
Maxcare Ambulance,,(619) 303-6705,7614 Lemon Ave,"Lemon Grove, CA 91945"
Express Ambulance Co,,(619) 589-0022,6975 North Ave,"Lemon Grove, CA 91945"
Vital Transport,mailto:vital_transport@hotmail.com,(619) 259-2988,1149 Foxboro Ave,"Chula Vista, CA 91911"
Balboa Ambulance,,(619) 295-1919,1138 Broadway,"El Cajon, CA 92021"
"Aeromedevac Inc in El Cajon, CA",,(619) 284-7910,1860 Joe Crosson Dr,"El Cajon, CA 92020"
Advantage Ambulance,,(619) 303-7744,2732 Via Orange Way,"Spring Valley, CA 91978"
Wackenhut,,(619) 216-6299,900 Lane Ave,"Chula Vista, CA 91914"
Maxcare Ambulance,,6194404046,100 E Lexington Ave,"El Cajon, CA 92020"
Special Care Transportation,,(619) 590-2699,800 Fesler St,"El Cajon, CA 92020"
Leader Auto Sales,,(619) 428-5851,4630 Border Village Rd,"San Ysidro, CA 92173"
Air Ambulance Jet Rescue,,(877) 704-8396,4630 Border Village Rd Ste 1227,"San Ysidro, CA 92173"
Riley Care Ambulance Services,,(619) 966-9899,1224 Greenfield Dr,"El Cajon, CA 92021"
"Aeromedevac, Inc.",,(800) 462-0911,681 Kenney St,"El Cajon, CA 92020"
